Team,AdjEM,Tempo
Tennessee Martin,-4.90,64.2
San Diego,-4.97,68.1
La Salle,-5.17,65.6
Rice,-5.23,65.6
Ohio,-5.28,68.8
Stony Brook,-5.46,66.3
Western Carolina,-5.50,67.8
Elon,-5.63,66.9
Southeast Missouri,-5.85,68.9
Vermont,-5.86,65.0
Long Beach St.,-5.88,68.6
Denver,-5.95,67.9
Georgia Southern,-6.08,70.1
San Jose St.,-6.10,64.9
Nicholls,-6.20,68.2
Bethune Cookman,-6.21,69.3
Lamar,-6.25,65.6
Eastern Michigan,-6.38,66.5
American,-6.39,66.7
Charleston Southern,-6.41,71.6
Florida Gulf Coast,-6.64,67.6
Texas St.,-6.66,66.1
UNC Asheville,-6.68,64.8
Abilene Christian,-6.73,67.5
Coastal Carolina,-6.87,66.9
Old Dominion,-6.90,69.0
Idaho St.,-7.01,65.6
Colgate,-7.06,66.9
Princeton,-7.07,63.5
Southern Utah,-7.09,70.2
Boston University,-7.28,63.2
Wofford,-7.30,67.9
East Carolina,-7.43,68.7
Saint Peter's,-7.56,65.6
SIUE,-7.61,64.4
Radford,-7.65,70.6
Iona,-7.71,68.8
UC Riverside,-7.79,68.6
Purdue Fort Wayne,-7.85,67.7
Nebraska Omaha,-7.97,67.1
Pepperdine,-8.07,68.6
Fairfield,-8.15,67.0
Sacramento St.,-8.31,71.8
Incarnate Word,-8.42,65.5
Lindenwood,-8.51,72.4
Milwaukee,-8.85,67.4
Presbyterian,-9.03,64.2
Central Michigan,-9.10,67.1
Longwood,-9.12,68.5
Hampton,-9.12,65.4
Western Michigan,-9.24,67.7
Dartmouth,-9.30,69.5
Southern,-9.50,70.5
North Dakota,-9.56,67.3
UTEP,-9.57,65.5
Mount St. Mary's,-9.62,67.6
Bellarmine,-9.65,64.7
Northwestern St.,-10.14,64.8
South Dakota,-10.31,69.9
Morehead St.,-10.36,65.4
Northeastern,-10.50,69.6
Mercyhurst,-10.55,64.8
Southeastern Louisiana,-10.58,65.5
East Texas A&M,-10.79,68.2
Brown,-10.82,66.5
North Carolina A&T,-10.92,68.6
Houston Christian,-11.12,64.4
Lehigh,-11.20,67.0
Ball St.,-11.34,63.7
Delaware,-11.36,63.2
Loyola Chicago,-11.41,65.8
Grambling St.,-11.43,67.6
Jacksonville,-11.48,63.4
Sacred Heart,-11.50,68.5
Eastern Kentucky,-11.67,67.3
Le Moyne,-11.85,69.6
UNC Greensboro,-12.15,67.7
Chattanooga,-12.21,67.3
Alabama A&M,-12.24,65.5
USC Upstate,-12.40,67.6
Stetson,-12.56,66.7
West Georgia,-12.56,69.2
Central Connecticut,-12.77,65.1
Wagner,-12.80,65.5
Evansville,-12.81,67.0
Texas Southern,-12.87,68.6
Little Rock,-12.96,66.7
Georgia St.,-12.96,67.9
Oral Roberts,-12.98,67.8
Prairie View A&M,-13.06,72.0
Louisiana,-13.27,63.3
Tennessee Tech,-13.36,66.9
Florida A&M,-13.39,68.2
Arkansas Pine Bluff,-13.41,69.1
IU Indy,-13.90,73.3
UMass Lowell,-14.10,69.2
Alabama St.,-14.39,69.5
Northern Arizona,-14.43,63.9
Norfolk St.,-14.59,67.9
Cleveland St.,-14.69,69.8
Loyola MD,-14.84,68.2
Albany,-14.90,65.2
Eastern Illinois,-14.92,65.7
Lafayette,-15.23,66.8
Cal St. Bakersfield,-15.41,70.2
New Haven,-16.11,63.3
Manhattan,-16.48,67.9
Holy Cross,-16.50,65.6
Bucknell,-16.67,66.9
NJIT,-16.87,67.9
Stonehill,-17.32,66.4
Northern Illinois,-17.33,67.5
North Florida,-17.58,70.4
Fairleigh Dickinson,-17.65,63.9
Army,-18.44,67.1
Niagara,-18.50,62.1
Southern Indiana,-18.63,67.6
UTSA,-18.69,68.6
Jackson St.,-19.16,69.4
North Alabama,-19.25,64.9
Canisius,-19.27,64.2
Air Force,-19.51,66.2
Chicago St.,-19.61,65.4
The Citadel,-20.19,64.4
Alcorn St.,-20.27,67.4
Maine,-20.29,64.8
Maryland Eastern Shore,-20.37,63.1
New Hampshire,-20.70,67.5
Louisiana Monroe,-21.07,70.2
Morgan St.,-21.24,70.8
North Carolina Central,-21.93,66.4
Saint Francis,-22.31,70.0
Bryant,-22.98,64.2
