Team,Player,Pos,Status,Reported,ImpactMultiplier,AutoAdjEM_delta,Source,Note
East Carolina,Jayshayne Woodard,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Woodard is out with ankle
East Carolina,Daithi Quinn,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Quinn is out for season with knee
Eastern Washington,Andrew Cook,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Cook is out for season with ankle
Florida Atlantic,Devin Vanterpool,G,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs North Texas Vanterpool is questionable with ankle"
Florida Atlantic,Zion Sampaio,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Sampaio is out for season with undisclosed
FIU,Amarion Nimmers,G,Out for season,Mar 7,,-0.1,covers_raw:injuries_raw.txt,is out for season Nimmers is out for season with undisclosed
FIU,Gvidas Gicevicius,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Gicevicius is out for season with undisclosed
Florida St.,AJ Swinton,F,Out for season,Mar 7,,-0.1,covers_raw:injuries_raw.txt,is out for season Swinton is out for season with knee
Florida St.,Xavier Osceola,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Duke Osceola is questionable with undisclosed"
Fordham,Ryan Pettis,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Pettis is out with undisclosed
Fordham,Jack Whitbourn,C,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Geo Washington Whitbourn is questionable with undisclosed"
Fresno St.,Nathan Zulemie,G,Out for season,Mar 12,,-0.1,covers_raw:injuries_raw.txt,is out for season Zulemie is out for season with undisclosed
George Mason,Brayden O'Connor,G,Out for season,Feb 16,,-0.1,covers_raw:injuries_raw.txt,is out for season O'Connor is out for season with foot
