Team,Player,Pos,Status,Reported,ImpactMultiplier,AutoAdjEM_delta,Source,Note
Seton Hall,Godswill Erheriene,C,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Erheriene is questionable with undisclosed"
Seton Hall,Jahseem Felton,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Felton is out for season with knee
Siena,Reid Ducharme,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Ducharme is out with shoulder
Siena,Tasman Goodrick,F,Out for season,Feb 7,,-0.1,covers_raw:injuries_raw.txt,is out for season Goodrick is out for season with knee
Siena,Antonio Chandler,F,Out,Mar 1,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Chandler is out with undisclosed
Siena,Owen Schlager,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Schlager is out with ribs
South Dakota,Josiah Dotzler,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Dotzler is out with knee
South Florida,Xavier Brown,G,Out for season,Feb 4,,-0.1,covers_raw:injuries_raw.txt,is out for season Brown is out for season with undisclosed
South Florida,De'Ante Green,F,Out for season,Feb 11,,-0.1,covers_raw:injuries_raw.txt,is out for season Green is out for season with achilles
Southern,B.J. Edwards,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Edwards is questionable with ankle"
St. Bonaventure,Amar'e Marshall,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Marshall is out with foot
St. Bonaventure,Xander Wedlow,F/C,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Wedlow is out with undisclosed
St. Bonaventure,Ilia Ermakov,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Ermakov is out with ankle
St John's,Kelvin Odih,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Odih is questionable with leg"
St John's,Casper Pohto,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Pohto is out for season with hip
St John's,Imran Suljanovic,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Suljanovic is out for season with knee
Stanford,Chisom Okpara,F,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Okpara is questionable with undisclosed"
Stanford,Anthony Batson,G,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Batson is questionable with undisclosed"
Stanford,Tallis Toure,F/C,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Toure is questionable with undisclosed"
Stanford,Kristers Skrinda,F,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Skrinda is questionable with undisclosed"
Stetson,Jamie Phillips,G,Questionable,Mar 4,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Friday vs Austin Peay Phillips is questionable with undisclosed"
Syracuse,Aaron Womack,G,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Womack is out for season with redshirt
TCU,Malick Diallo,C,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Diallo is out for season with knee
Temple,AJ Smith,G,Out for season,Jan 24,,-0.1,covers_raw:injuries_raw.txt,is out for season Smith is out for season with undisclosed
Tennessee,Cade Phillips,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Phillips is out for season with shoulder
Tennessee,Nate Ament,F,Probable,Mar 12,,0.0,covers_raw:injuries_raw.txt,is upgraded to probable Thursday vs Auburn Ament is probable with leg
Tennessee,Amari Evans,G,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs winner of Mississippi St/Auburn Evans is questionable with ankle"
Tennessee,Clarence Massamba,G,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs winner of Mississippi St/Auburn Massamba is questionable with undisclosed"
Texas A&M,Mackenzie Mgbako,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Mgbako is out for season with foot
Texas,Lassina Traore,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Traore is questionable with undisclosed"
Texas Tech,JT Toppin,F,Out for season,Feb 20,,-0.1,covers_raw:injuries_raw.txt,is out for season Toppin is out for season with knee
Texas Tech,LaTrell Hoover,F,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Hoover is out for season with redshirt
UAB,Joao Das Chagas,C,Out for season,Feb 8,,-0.1,covers_raw:injuries_raw.txt,is out for season Das Chagas is out for season with undisclosed
UAB,Ahmad Robinson,G,Questionable,Mar 8,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Robinson is questionable with hand"
UCF,Tanner Jones,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Arizona Jones is questionable with undisclosed"
UCLA,Evan Manjikian,F,Out,Jan 31,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Manjikian is out with undisclosed
UNC Wilmington,Gavin Walsh,F,Questionable,Mar 3,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Walsh is questionable with knee"
UNLV,Ladji Dembele,F,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is OUT Thursday vs Utah State Dembele is out with undisclosed
UNLV,Myles Che,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Che is out with foot
USC,Rodney Rice,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Rice is out for season with shoulder
USC,Amarion Dickerson,G/F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Dickerson is out with hip
UTEP,David Tubek,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Tubek is out with calf
UTEP,Tyreese Watson,G,Out for season,Jan 24,,-0.1,covers_raw:injuries_raw.txt,is out for season Watson is out for season with undisclosed
UTSA,Pierce Spencer,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Spencer is out for season with undisclosed
UTSA,Mo Njie,C,Questionable,Mar 8,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Njie is questionable with undisclosed"
UTSA,Stanley Borden,C,Questionable,Mar 8,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Borden is questionable with undisclosed"
UTSA,Austin Nunez,G,Questionable,Mar 8,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Nunez is questionable with undisclosed"
UTSA,Macaleab Rich,G/F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Rich is out for season with groin
UTSA,Vasean Allette,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Allette is out for season with undisclosed
Utah St.,Elijah Perryman,G,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs UNLV Perryman is questionable with undisclosed"
VCU,Obinnaya Okafor,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Okafor is out with undisclosed
VCU,Christian Fermin,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Fermin is out with personal
Vanderbilt,Frankie Collins,G,Out for season,Mar 4,,-0.1,covers_raw:injuries_raw.txt,is out for season Collins is out for season with left team
Villanova,Zion Stanford,G,Out,Mar 7,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Stanford is out with left team
Villanova,Wade Chiddick,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Chiddick is out with knee
Villanova,Matthew Hodge,F,Out for season,Mar 2,,-0.1,covers_raw:injuries_raw.txt,is out for season Hodge is out for season with knee
Virginia Tech,Amani Hansberry,F,Out,Mar 10,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Tuesday vs Wake Forest Hansberry is out with leg
Virginia Tech,Sin'Cere Jones,F,Out for season,Feb 23,,-0.1,covers_raw:injuries_raw.txt,is out for season Jones is out for season with foot
Virginia Tech,Shamarius Peterkin,G,Out,Mar 10,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Tuesday vs Wake Forest Peterkin is out with undisclosed
Washington,Jacob Ognacevic,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Wisconsin Ognacevic is questionable with undisclosed"
Washington,Franck Kepnang,C,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Thursday vs Wisconsin Kepnang is out with leg
Washington,Desmond Claude,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Wisconsin Claude is questionable with undisclosed"
Washington,Mady Traore,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Traore is out for season with foot
Washington,Bryson Tucker,F,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Thursday vs Wisconsin Tucker is out with personal
Washington,JJ Mandaquit,G,Out for season,Feb 12,,-0.1,covers_raw:injuries_raw.txt,is out for season Mandaquit is out for season with undisclosed
Washington,Jasir Rencher,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Wisconsin Rencher is questionable with undisclosed"
Washington St.,Tomas Thrastarson,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Thrastarson is out with foot
Washington St.,Kase Wynott,G,Out,Feb 10,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Wynott is out with undisclosed
Weber St.,Jace Whiting,G,Out,Jan 22,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Whiting is out with foot
West Georgia,Chas Lewless,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Lewless is out with arm
Western Kentucky,Bryant Selebangue,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Selebangue is out for season with achilles
Western Kentucky,Louie Semona,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Semona is out with undisclosed
Western Kentucky,Lawson Rice,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Rice is out for season with knee
Wichita St.,Jaret Valencia,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Valencia is out for season with achilles
Wichita St.,Pierre Couisnard,G,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Couisnard is out for season with redshirt
Wichita St.,Tyrus Rathan-Mayes,G,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Rathan-Mayes is out for season with redshirt
Wisconsin,Jack Janicki,G,Questionable,Mar 9,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday Janicki is questionable with undisclosed"
Wisconsin,Nolan Winter,F,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Thursday vs Washington U Winter is out with leg
Wyoming,Matija Belic,F,Out,Jan 29,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Belic is out with lower body
Wyoming,Jared Harris,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Harris is questionable with lower body"
Xavier,Michael Wolf,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Connecticut Wolf is questionable with undisclosed"
Xavier,Gabriel Pozzato,F,Out,Feb 28,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Pozzato is out with undisclosed
Xavier,Luke Naser,G,Out,Feb 28,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Naser is out with undisclosed
