team,adjoe,adjde,adjt,barthag
Duke,128.14904357444615,90.82469357684226,65.80289902502722,0.981275529393138
Michigan,127.63450072351318,91.04688631318432,71.21588775355953,0.9798590808886916
Arizona,126.9328463200414,91.39879171276158,70.0265807984333,0.9776187905660676
Florida,126.11025282932148,92.27159037013304,70.39846831640578,0.9732168213458992
Houston,125.3761008011556,92.39818113160156,63.32516871557185,0.970968805707221
Illinois,131.94853676044386,98.20662203294115,65.71825606645093,0.9675915468033512
Iowa St.,123.77693011635378,92.63870403444515,66.96165457910595,0.9655237713281531
Purdue,133.28802249492458,100.25111499176668,64.43644110017448,0.9635819526479076
Connecticut,123.09077692053246,94.96630924453147,64.58279664461328,0.9518047318017968
Vanderbilt,127.44611401573864,99.3325518475338,68.98180715559334,0.9461415847068948
Gonzaga,120.28150450114714,94.01797680255537,68.93236315364123,0.9444338732568964
Texas Tech,126.29164284713325,98.78753576340496,66.40820549405308,0.9439938318467854
Michigan St.,122.89006659127358,96.16034681539584,65.98079627712967,0.9437810744888392
Virginia,122.24772497011595,95.828630398865,65.57763983291127,0.9426818899043108
St. John's,119.8360168490785,94.12447942074596,69.60376018997675,0.9414378888713262
Tennessee,121.5069174372959,95.53605050874503,65.22477844539156,0.9407759081269592
Louisville,124.03430082151512,98.16619405303236,69.71230724985458,0.9364224827138048
Alabama,129.4991228922421,102.7881132699872,73.05923674304215,0.9344135811196724
Arkansas,127.94397173612164,101.67114309335729,70.97427124123527,0.9335945240705558
Nebraska,117.2538878569014,93.48342011306744,66.82093045578033,0.9312090054022388
Wisconsin,127.17617855394414,101.64124877395804,68.69395616975298,0.9293944834911642
Kansas,117.86865930972668,94.38278244536517,67.6096555724268,0.9279382117979909
Ohio St.,125.2171892870942,101.60783116142892,66.16146682769845,0.9170318217012337
UCLA,124.51822223155888,101.76067566642436,64.68768853525523,0.9106034796465028
Saint Mary's,119.3889951284907,97.5855066343936,65.30213914311945,0.910443937966688
Iowa,122.13067319746288,100.19089336085776,63.027100530741095,0.9069680321337468
North Carolina,121.46775031421409,100.053192258073,67.98560805753611,0.902945415377297
Santa Clara,124.99642288371064,103.71183475421172,69.25742380217886,0.89535926999318
Utah St.,123.02906688062426,102.0858683474044,67.55370639809594,0.8952918581982402
Clemson,116.541487882331,96.95489530989052,64.27331427615292,0.8924502016649227
Kentucky,119.9107388158162,99.98566564901633,68.31926791640589,0.8899067640842462
Cincinnati,112.30667642063013,93.69128164169445,67.65123785568427,0.8893505104857374
BYU,124.74575041830984,104.32572450991044,69.7791356811537,0.8865259808617895
Indiana,121.94480454078304,102.0937451267572,66.19917503996193,0.8852674651442192
Miami FL,121.07720391394818,101.46562417153982,67.92965806895972,0.8841310791804665
Villanova,119.61168901030304,100.53854965759588,64.9463968021141,0.880550899516825
Georgia,124.3173175934922,104.76044808933348,72.02594121399021,0.8774339536651152
N.C. State,124.07921540330656,104.63475838872576,69.0919221132396,0.8765449225525662
Texas A&M,119.8892961981514,101.39118351306315,71.0158608343569,0.8729392251957435
Oklahoma,125.1472421277154,105.86473323983094,66.14948261401828,0.8726150873116891
Auburn,124.20306066544174,105.79550198804948,67.35195156242193,0.863505128238028
SMU,123.04567994859158,104.9726580763338,68.62208707582035,0.8613849862998983
Saint Louis,119.56932042826288,102.22706412712776,71.01390387539206,0.8583980628078616
San Diego St.,112.20784930057306,96.10041602629822,68.59866651900771,0.8559475945036524
Texas,124.0565307090514,106.39320866225933,67.09866522467256,0.8540031071225773
Missouri,119.9207353475796,103.02743803074772,66.37969633009976,0.8514614758760203
Baylor,123.33190504909356,106.54566052876292,67.83496364660178,0.8432370486085925
VCU,119.28514024337892,103.08826793831425,68.68098165232902,0.8426671582185461
TCU,114.84952242496828,99.65460074620084,67.57960481950622,0.8364426679759541
South Florida,116.7846133757844,101.42185390013816,71.40149162396509,0.8350695959859539
Florida St.,119.41696379959544,103.95418109079844,70.6081715552695,0.831278696571582
Washington,116.79662769376075,102.21573564068748,67.05615449309522,0.8225190652341602
New Mexico,116.45299764042352,102.07967758602628,69.82927161350707,0.819792439066113
Virginia Tech,117.59342964314465,103.09632501251748,67.18958889258056,0.8195125265109513
Grand Canyon,111.08757625501534,97.53179615952016,68.01296681614106,0.817069057894952
Boise St.,118.116988601661,103.818622998058,65.74261120388404,0.8151529811646098
UCF,119.99920041185504,105.6720247233694,69.1160646053316,0.8118637684708365
Minnesota,115.95576688902727,102.11276401828135,62.65009822543392,0.8118394882691965
Stanford,117.0295604092992,103.6733795482581,66.99740273789037,0.8011637235870682
Seton Hall,108.73179969404092,96.32476585286096,65.15665290474081,0.8011227891718892
Arizona St.,115.24570123862934,102.37695539512848,69.21422191689733,0.7960284662845956
West Virginia,108.51699616863854,96.62436708686428,62.46294268686097,0.7916454255856645
Northwestern,116.45426432352698,103.76142913309272,65.10549050165497,0.7903687326198662
Mississippi,114.07158928042364,101.69557757036966,66.07082898891652,0.7892961023592922
Tulsa,120.98569198921408,108.26753553221288,67.77874681843895,0.7819846906064878
USC,113.08070887081294,101.27547307222486,70.72384733585449,0.7803936292155174
Wake Forest,117.86808755124213,105.6359050779097,68.29020034518406,0.77903116766925
California,113.78308656144424,102.14812495785289,67.86072685986693,0.7756517466690368
LSU,118.81061948498318,106.73434547140002,66.58634069188814,0.7742837405488852
Northern Iowa,109.7112760877065,98.5820220532446,62.18687070218464,0.773832094996169
Akron,117.16513620389094,105.33708783237108,70.32074100784978,0.7727344161547253
Butler,117.24467644248335,105.62313246824382,68.89980911641571,0.7686020478883568
McNeese St.,113.15804425411054,102.17324155839177,66.13607262561543,0.7639267747705819
Providence,120.88153328173794,109.17202437423737,71.32687010314478,0.7634505044603488
Oklahoma St.,118.52590601577344,107.23167619957188,72.17593059451092,0.7598045752559021
Marquette,111.80805242319998,101.21356142586949,69.22004960043617,0.7585661597280711
Colorado,118.01019846399764,106.8324532731804,68.60904673844752,0.7584786786043757
Georgetown,114.01453393373436,103.2963038610258,66.21094062643577,0.7568211650103444
Nevada,114.54557760274248,103.81156971769724,66.04598710106382,0.7561242455225237
Belmont,120.13538774972236,109.01619468927262,68.96801446445585,0.7534157081470001
Syracuse,115.15719168409429,104.66991983467736,67.37839850837258,0.7499025202938021
Dayton,110.06085591423688,100.08783671287432,67.01881102910932,0.7488203590251667
George Washington,117.3903741231828,106.94881583103036,69.33210502590168,0.7448397487663397
Wichita St.,111.33141019193307,102.04858625486357,66.23961936656498,0.7312978940495025
Creighton,114.92411377793633,105.37775519578707,67.35460951331969,0.7305245172191817
Miami OH,116.6867050849028,107.58695552934591,69.94164853469331,0.7178297469148132
Utah Valley,112.33464298574808,103.6268212344965,68.63156960767856,0.7166470740172262
Colorado St.,118.20484746635412,109.1372166813657,62.98243699357864,0.7146040890937049
Stephen F. Austin,112.5152358313532,104.01517787211604,65.70777837916023,0.7116365889916759
Oregon,111.78533931311748,103.5275585346943,65.93279798246814,0.7073482162276283
Hofstra,113.19010490875948,104.95516448206033,64.71380018204498,0.7044664201598472
Yale,118.8295997333529,110.39732527655354,64.65748973131679,0.6998225909485035
High Point,115.6813531473048,107.52003093667972,69.88909815604822,0.698752906718874
Xavier,117.24457461583992,109.27017040395216,70.31057570967893,0.692119082695543
Wyoming,115.06671679674412,107.37948082668758,66.0504188786474,0.6889348761705462
Cal Baptist,107.493194178298,100.32045138983328,65.93115332651749,0.6887252646981852
Notre Dame,115.0009857711444,107.36713428091348,66.04167294273537,0.6878089217729666
Saint Joseph's,108.41291774358056,101.32216210086752,67.96364442781444,0.6852238836738679
Mississippi St.,112.8631066994759,105.48436160729084,69.49751338360359,0.6851515574659598
South Carolina,111.7928585935583,104.64608765646528,66.30262674857836,0.6812954621653539
DePaul,106.78439980424378,100.00099406477858,66.46068117673231,0.6802160333548091
Pittsburgh,112.62484450940748,105.56599965049516,63.65226314299704,0.6779461019556606
Kansas St.,112.7072451392402,105.64738247895444,72.67217890853216,0.677847539663241
Seattle,102.5825981876186,96.43517215196336,67.72833830641481,0.6705490037640428
Davidson,110.15462816337508,103.6814575519141,63.57038459229515,0.667402593650361
Sam Houston St.,113.8922840362538,107.20435848516348,70.03599791619965,0.667286232441431
Pacific,110.47235903083072,104.08344471851588,64.39601280940222,0.6648721729157288
UC Irvine,104.49056867329313,98.64684410377438,68.15689922840951,0.6596717128422028
UNLV,115.4978325297761,109.15582291489564,69.86941354474689,0.6568901948351447
Illinois St.,109.18586300663917,103.4056760358978,66.81723660539669,0.6514695414441647
Illinois Chicago,109.6157445435774,103.82497050915408,66.27646066896752,0.6511633799438495
St. Thomas,113.93592279625176,107.9340690764373,68.38850665053279,0.6507482543687764
Maryland,111.72534453696072,105.89803011392377,66.29145018654857,0.6493127435442272
North Dakota St.,111.4590425755922,106.04885654895814,66.3569332396378,0.6392727051815638
Utah,114.8554171286724,109.377663484498,66.30349605311977,0.63690941376484
Hawaii,106.90102196791943,101.84645404966123,69.5809991981123,0.6357641562379068
Rutgers,110.95238113734936,105.94308075094298,66.68564091905486,0.6297839450304756
George Mason,110.85631227354406,105.8599480504676,63.57429160339046,0.6295661126327049
UT Rio Grande Valley,111.27624253093964,106.53372477950865,66.39594870239375,0.6226644880786658
Liberty,117.57419409188216,112.91378597378102,63.89772235722816,0.6142274900918987
Duquesne,110.82743250944269,106.65340578913604,68.83068617708956,0.6086126848682438
UC San Diego,106.2086223602064,102.24806264643549,67.19546166592083,0.6075534129717686
Florida Atlantic,109.554107021053,105.59018241879976,69.81335892566274,0.6043949034148268
San Francisco,113.25786452761054,109.27067350429223,65.8933254671201,0.60160337412174
UNC Wilmington,110.63065796754728,106.822064557448,64.89721580771307,0.5993785906351785
Washington St.,114.35633502826236,110.4573018551592,67.88471860110856,0.598432533594729
UC Santa Barbara,113.65775226495626,109.94509253908032,64.32732931879211,0.5943367723669328
Montana St.,110.94952228863716,107.37266810969687,65.89845928031643,0.5931134582257519
Southern Illinois,102.44657619721488,99.30508998801272,68.98533188073623,0.5885957249559963
Wright St.,112.40921776373833,109.0270261319282,66.97687066573965,0.5869392553494839
Fresno St.,106.93367462825104,103.77439359939729,68.28153059333194,0.5853753415489614
Toledo,114.52986025461448,111.1827616464191,67.85340253083282,0.5844559111491957
Memphis,107.85273121384864,104.77029999182449,69.9610435141886,0.5826005625150357
Bradley,110.78580370133804,107.8577375250762,67.50677954380184,0.5764052031565942
Murray St.,115.15244388515174,112.1974050991546,71.79070484470465,0.5741895607281327
Idaho,108.82946318591368,106.18991517251764,67.4241819620705,0.570124466244957
UAB,108.52177717792584,106.03176505712288,69.30625370790824,0.5663414429259813
Northern Colorado,112.27760934063794,109.83151195846412,68.46181418056429,0.5629910950150949
Boston College,103.70783268693268,101.46756485704492,65.9591710838214,0.5624576238277281
North Texas,103.09049817984663,101.18894260825718,64.9820360576958,0.5533224565586875
Penn St.,113.78335595599464,111.72006417833806,67.51655410725319,0.552419000787656
Troy,110.72249535932266,109.04425878428393,65.084085396929,0.5437978691264171
Temple,111.68221949481824,110.10264051641232,64.89776087730829,0.5408615645405471
Central Arkansas,109.61218354090482,108.10064818064149,67.90988492780181,0.5398370899624452
Kennesaw St.,110.79975045507,109.50055331196702,71.26667869663312,0.5338584977572647
Arkansas St.,109.7874306196691,108.51179287576193,72.14729063013883,0.5335501823522708
Penn,106.5759815772507,105.41417221950016,69.02427516446134,0.5314714574210969
Navy,106.44480997044816,105.40314373326844,65.16724285166883,0.5282431490492806
Loyola Marymount,106.46348794338294,105.45418598040683,67.19487698242905,0.5273584247846175
Eastern Washington,113.12281855268805,112.08996537075984,67.80426529509874,0.5263459599435029
Robert Morris,109.95189626105534,108.95504511060224,64.54290695667572,0.5261604293585269
Rhode Island,104.18524199703012,103.29887845811108,65.8380330298834,0.5245441674845155
Bowling Green,105.99411153743658,105.1562705424858,68.23379579678782,0.5228001951242157
St. Bonaventure,113.14008368642028,112.37023235098376,67.14298242333807,0.5196194551997664
Cornell,119.78053951036112,119.0702827792566,71.40800492866728,0.5170918272864885
Kent St.,110.6313504916489,110.02999614935696,70.56655025852787,0.5156650198455507
Middle Tennessee,109.66428639630976,109.08756385504438,65.54979140132176,0.5151548274943997
Portland St.,103.07785012780715,102.58817126436908,67.78478952324153,0.5136870219594047
Austin Peay,108.6508414647244,108.18574148180934,69.2243025897871,0.5123308839340787
William & Mary,110.38723169826062,109.97985192050234,72.64016027127431,0.5106281007047133
Georgia Tech,106.91711881166074,106.54684250615946,70.9038852999047,0.5099726835336809
Valparaiso,107.55755380635638,107.20210977160068,65.11105937702521,0.5095155592256733
Oregon St.,109.36490970523012,109.0200307249855,65.22959884707508,0.5090795536949344
UC Davis,106.97029269476582,106.68476562573876,68.86901609445722,0.5076836579066575
Harvard,105.402400822687,105.16719381291516,63.122107143235496,0.506422420520975
Montana,107.17257915255544,106.9890939341507,69.49940754364656,0.5049262135011672
Cal St. Northridge,108.91697516772156,108.88422219908188,73.45582529296236,0.500864684793415
